vendor_id,b_entity_id
144203445,06J95N-E
205992356,001NM7-E
205992356,002WYT-E
205992356,06140W-E
205992356,071M02-E
205992356,07PVKJ-E
205992356,09YT7C-E
205992356,0BCHP7-E
205992356,0CG5V9-E
205992356,0DWR4C-E
205992356,0FGKJR-E
205992356,0GKGF4-E
205992356,0GTVFL-E
205992356,0HCYW0-E
314568305,0073BH-E
314568305,05PFZH-E
314568305,05PG02-E
314568305,05TD02-E
314568305,0611S0-E
314568305,0611S2-E
314568305,06170V-E
314568305,064QNK-E
314568305,06KMXD-E
314568305,072DY7-E
314568305,07GS3Z-E
314568305,07LB4T-E
314568305,07LB1F-E
314568305,07TYVJ-E
314568305,07V04L-E
314568305,07XHTZ-E
314568305,09MD5X-E
314568305,0B8KTV-E
314568305,0BB88Z-E
314568305,0CS35Y-E
314568305,0DZ3Y1-E
314568305,0F08JV-E
314568305,0FMJV9-E
314568305,0H4VXT-E
314568305,0HL2K2-E
197249066,080MZH-E
315875569,0018VM-E
315875569,05PLXT-E
315875569,05PLXW-E
315875569,06R5SD-E
315875569,070QZ4-E
315875569,074L9V-E
315875569,07HWM3-E
315875569,07HVP5-E
315875569,07KP8R-E
315875569,07PDKV-E
315875569,07SZXS-E
315875569,07VLFW-E
315875569,07XFXF-E
315875569,086C2V-E
315875569,0883BJ-E
315875569,09T3MN-E
315875569,0B5NBJ-E
315875569,0BL7BM-E
315875569,0CFQK2-E
315875569,0CMR05-E
315875569,0D29JG-E
315875569,0D489H-E
315875569,0D6XQC-E
315875569,0DGPZN-E
315875569,0DNZDC-E
315875569,0DR4T3-E
315875569,0FBDS0-E
47164352,0022MF-E
47164352,00CHGK-E
47164352,089K39-E
299508848,08B3QQ-E
315685471,001NM7-E
315685471,071M02-E
315685471,07PVKJ-E
315685471,09YT7C-E
315685471,0BCHP7-E
315685471,0DWR4C-E
315685471,0FGKJR-E
315685471,0GTVFL-E
315685471,0HCYW0-E
314960238,06J95N-E
143319965,06J95N-E
314705764,001NM7-E
314705764,002WYT-E
314705764,06140W-E
314705764,07PVKJ-E
314705764,09YT7C-E
314705764,0BCHP7-E
314705764,0CG5V9-E
314705764,0DWR4C-E
314705764,0FGKJR-E
314705764,0GKGF4-E
314705764,0GTVFL-E
314705764,0HCYW0-E
315034581,05PJCQ-E
315034581,064T4B-E
315034581,07V0Q6-E
315034581,07XGHP-E
315034581,0CYDKF-E
153037205,083JKH-E
316786480,0073BH-E
316786480,05PFZH-E
316786480,05PG02-E
316786480,05TD02-E
316786480,0611S0-E
316786480,0611S2-E
316786480,06170V-E
316786480,064QNK-E
316786480,06KMXD-E
316786480,072DY7-E
316786480,07GS3Z-E
316786480,07LB4T-E
316786480,07L9X6-E
316786480,07LB1F-E
316786480,07TYVJ-E
316786480,07V04L-E
316786480,07XHTZ-E
316786480,07XHVH-E
316786480,09MD5X-E
316786480,09WNQ8-E
316786480,0B8KTV-E
316786480,0BB88Z-E
316786480,0CS35Y-E
316786480,0DZ3Y1-E
316786480,0F08JV-E
316786480,0FMJV9-E
316786480,0H4VXT-E
316786480,0HL2K2-E
315428635,009N0G-E
315428635,05L32P-E
315428635,05PJFF-E
315428635,06L8ZC-E
315428635,0719L8-E
315428635,076YSD-E
315428635,07QTCD-E
315428635,07XHLF-E
315428635,07Y1H6-E
315428635,080NLC-E
315428635,0CJ2DL-E
315428635,0D9HH6-E
315428635,0DW99H-E
315428635,0H4N1G-E
314927762,0025HQ-E
314927762,05Q116-E
314927762,0793GP-E
314784113,00C5RK-E
314784113,061828-E
275502790,06V86Y-E
52024690,083RM9-E
21629303,00834D-E
146183063,07V2X4-E
142818965,0D2238-E
142854747,062SFC-E
54643792,05LJG8-E
54643792,05PLV4-E
54643792,05X9TS-E
54643792,062VG5-E
54643792,064Y4T-E
54643792,064Y52-E
54643792,064Y5C-E
54643792,064Y5Y-E
54643792,0657CD-E
54643792,065BFM-E
