a_city_state_zip,b_city_state_zip,a_clean_name,b_clean_name,level_0,level_1
helenamt59604,helenamt59623,lewisclarkcountyof,lewisclarkcountyofmt,6,33175
lafayettein47901,lafayettein47902,lafayettecityof,lafayettebancorpin,10,496
lafayettein47901,lafayettein479011301,lafayettecityof,lafayettecommunitybancorp,10,706
lafayettein47901,lafayettein47905,lafayettecityof,lafayettelifeinsuranceco,10,27812
lafayettein47901,lafayetteca94549,lafayettecityof,lafayettechamberofcommerce,10,39793
lafayettein47901,lafayettela70506,lafayettecityof,lafayettesteelerectorinc,10,46827
lafayettein47901,lafayettela,lafayettecityof,lafayetteeducationfoundation,10,98347
lafayettein47901,lafayettela70508,lafayettecityof,lafayettesurgicalspecialtyhospital,10,103910
lafayettein47901,lafayettein47901,lafayettecityof,lafayettecommunitybankin,10,118394
lafayettein47901,lafayettela,lafayettecityof,lafayetteportof,10,143176
lafayettein47901,lafayettela70508,lafayettecityof,lafayettecentralpark,10,160300
lafayettein47901,lafayettein47950,lafayettecityof,lafayettepuzzlefactoryllc,10,178000
lafayettein47901,lafayette,lafayettecityof,lafayettesurgicare,10,182380
lafayettein47901,lafayetteco80026,lafayettecityof,lafayettemilitarysupplyinc,10,192469
lancasterky40444,lancasterpa17603,lancastercityof,lancasterholdingscoinc,27,2779
lancasterky40444,lancasterca93534,lancastercityof,lancastercommunityhospital,27,21724
lancasterky40444,lancasterpa,lancastercityof,lancasterinformationgroupinc,27,21731
lancasterky40444,lancasterpa17601,lancastercityof,lancasterorthopedicgroup,27,23909
lancasterky40444,lancasteroh43130,lancastercityof,lancasterplasticscorp,27,27793
lancasterky40444,lancasteroh43130,lancastercityof,lancasterplasticscorpkeifer,27,27794
lancasterky40444,lancasterpa17601,lancastercityof,lancasterbiblecollege,27,27989
lancasterky40444,lancasterpa17602,lancastercityof,lancasterbrewingco,27,29419
lancasterky40444,lancasterny14086,lancastercityof,lancastersteelservicecoinc,27,33758
lancasterky40444,lancasterpa17608,lancastercityof,lancastercityofpa,27,40109
lancasterky40444,lancasteroh43130,lancastercityof,lancasterportauthorityoh,27,44053
lancasterky40444,lancasterpa17601,lancastercityof,lancastercountyassociationofrealtors,27,45101
lancasterky40444,lancasterca17603,lancastercityof,lancastercountycommunityfoundation,27,45106
lancasterky40444,lancasterpa17603,lancastercityof,lancastercountrydayschool,27,49942
lancasterky40444,lancasterpa17601,lancastercityof,lancasteroilco,27,50063
lancasterky40444,lancastersc29720,lancastercityof,lancastercountyofsc,27,54071
lancasterky40444,lancasteroh43130,lancastercityof,lancasterchorale,27,94314
lancasterky40444,lancasterpa17603,lancastercityof,lancastercountyofpa,27,102585
lancasterky40444,lancasteroh43130,lancastercityof,lancastercityofoh,27,103232
lancasterky40444,lancasterpa17603,lancastercityof,lancastercountyfinancialgroupllc,27,122626
lancasterky40444,lancasterpa17601,lancastercityof,lancastercountytaxcollectionbureau,27,144566
lancasterky40444,lancasterpa17603,lancastercityof,lancastercountyofficeofthecommissionerspa,27,145248
lancasterky40444,lancasteroh43130,lancastercityof,lancasterfestival,27,163084
lancasterky40444,lancaster,lancastercityof,lancastertechnologyltd,27,188070
lancasterky40444,lancasterpa17601,lancastercityof,lancastermortgageco,27,196353
chestertownmd21620,chestertownmd21620,lamottechemicalproductsco,lamottechemicalproductscoinc,68,56505
batonrougela70802,batonrougela70802,louisianacasaassociation,louisianacasinocruisesinc,72,872
batonrougela70802,batonrougela,louisianacasaassociation,louisianaagenciesinc,72,21308
batonrougela70802,batonrougela70898,louisianacasaassociation,louisianabancsharesincbatonrouge,72,21309
batonrougela70802,batonrougela708214069,louisianacasaassociation,louisianaoilgasassociation,72,36267
batonrougela70802,batonrougela70809,louisianacasaassociation,louisianahospitalassociation,72,39524
batonrougela70802,batonrougela70802,louisianacasaassociation,louisianaassociatedgeneralcontractors,72,41001
batonrougela70802,batonrougela70806,louisianacasaassociation,louisianaassociationofdefensecounsel,72,44417
batonrougela70802,batonrougela70806,louisianacasaassociation,louisianalandownersassociationinc,72,44432
batonrougela70802,batonrougela70801,louisianacasaassociation,louisianaassociationofbroadcasters,72,44935
batonrougela70802,batonrougela70802,louisianacasaassociation,louisianaofficeofstudentfinancialassistance,72,46548
batonrougela70802,batonrougela,louisianacasaassociation,louisianaboardofethics,72,49267
batonrougela70802,batonrougela70816,louisianacasaassociation,louisianaglassinc,72,51155
batonrougela70802,batonrougela70815,louisianacasaassociation,louisianacontrolsinc,72,53276
batonrougela70802,batonrougela708082608,louisianacasaassociation,louisianabankersassociation,72,59839
batonrougela70802,batonrougela70808,louisianacasaassociation,louisianastatemedicalsociety,72,60486
batonrougela70802,batonrougela70809,louisianacasaassociation,louisiananotaryassociation,72,96186
batonrougela70802,batonrougela70801,louisianacasaassociation,louisianaassociationofhealthplans,72,101017
batonrougela70802,batonrougela70809,louisianacasaassociation,louisianainc,72,106733
batonrougela70802,batonrougela70809,louisianacasaassociation,louisianadentalassociation,72,118149
batonrougela70802,batonrougela70804,louisianacasaassociation,louisianahealthcarecommission,72,120856
batonrougela70802,batonrougela708010426,louisianacasaassociation,louisianasflagshipcoalition,72,126949
batonrougela70802,batonrougela70806,louisianacasaassociation,louisianatelecommunicationsassociation,72,127917
batonrougela70802,batonrougela70804,louisianacasaassociation,louisianastatebondcommission,72,129403
batonrougela70802,batonrougela70809,louisianacasaassociation,louisianabusinessinc,72,134810
batonrougela70802,batonrougela70804,louisianacasaassociation,louisianaretailersassociation,72,139135
batonrougela70802,batonrougela70821,louisianacasaassociation,louisianacasinoassociation,72,140282
batonrougela70802,batonrougela70802,louisianacasaassociation,louisianareclamationcollc,72,158072
atlantaga30309,atlantaga30349,logisticare,logisticareinc,98,984
atlantaga30309,atlantaga30319,logisticare,logisticallysoundinc,98,7859
atlantaga30309,atlantaga30309,logisticare,logisticaresolutionsllc,98,61254
mirabelquébecquebecj7n1h3,mirabelqcj7n1h3,l3communicationsmascanadainc,l3communicationsmascanadainc,102,61549
lafayetteal36862,lafayettein47902,lafayettecityof,lafayettebancorpin,135,496
lafayetteal36862,lafayetteca94549,lafayettecityof,lafayettechamberofcommerce,135,39793
lafayetteal36862,lafayettela70506,lafayettecityof,lafayettesteelerectorinc,135,46827
lafayetteal36862,lafayettela,lafayettecityof,lafayetteeducationfoundation,135,98347
lafayetteal36862,lafayettela70508,lafayettecityof,lafayettesurgicalspecialtyhospital,135,103910
lafayetteal36862,lafayettela,lafayettecityof,lafayetteportof,135,143176
lafayetteal36862,lafayettela70508,lafayettecityof,lafayettecentralpark,135,160300
lafayetteal36862,lafayette,lafayettecityof,lafayettesurgicare,135,182380
lafayetteal36862,lafayetteco80026,lafayettecityof,lafayettemilitarysupplyinc,135,192469
helenamt59623,helenamt59623,lewisandclarkcounty,lewisclarkcountyofmt,142,33175
helenamt59623,helenamt59623,lewisclarkcountyof,lewisclarkcountyofmt,143,33175
lafayettetn37083,lafayettein47902,lafayettecityof,lafayettebancorpin,144,496
lafayettetn37083,lafayettein479011301,lafayettecityof,lafayettecommunitybancorp,144,706
lafayettetn37083,lafayettein47905,lafayettecityof,lafayettelifeinsuranceco,144,27812
lafayettetn37083,lafayettela70506,lafayettecityof,lafayettesteelerectorinc,144,46827
lafayettetn37083,lafayettela,lafayettecityof,lafayetteeducationfoundation,144,98347
lafayettetn37083,lafayettela70508,lafayettecityof,lafayettesurgicalspecialtyhospital,144,103910
lafayettetn37083,lafayettein47901,lafayettecityof,lafayettecommunitybankin,144,118394
lafayettetn37083,lafayettela,lafayettecityof,lafayetteportof,144,143176
lafayettetn37083,lafayettela70508,lafayettecityof,lafayettecentralpark,144,160300
lafayettetn37083,lafayettein47950,lafayettecityof,lafayettepuzzlefactoryllc,144,178000
lafayettetn37083,lafayette,lafayettecityof,lafayettesurgicare,144,182380
lafayettetn37083,lafayetteco80026,lafayettecityof,lafayettemilitarysupplyinc,144,192469
lewistonme4240,lewistownpa17044,lewistoncityof,lewistowntrustco,148,22591
lewistonme4240,lewistownpa17044,lewistoncityof,lewistownhospital,148,29488
lewistonme4240,lewistonmn55952,lewistoncityof,lewistonimplementcoinc,148,50124
lewistonme4240,lewistonme04240,lewistoncityof,lewistoncityofme,148,53072
lewistonme4240,lewistonut843200048,lewistoncityof,lewistonbancorp,148,124985
bensalempa19020,bensalempa19020,laminatedmaterialscorporation,laminatedmaterialscorp,154,57815
lancasterpa17608,lancasterpa17603,lancastercityof,lancasterholdingscoinc,172,2779
lancasterpa17608,lancasterca93534,lancastercityof,lancastercommunityhospital,172,21724
lancasterpa17608,lancasterpa,lancastercityof,lancasterinformationgroupinc,172,21731
lancasterpa17608,lancasterpa17601,lancastercityof,lancasterorthopedicgroup,172,23909
lancasterpa17608,lancasteroh43130,lancastercityof,lancasterplasticscorp,172,27793
lancasterpa17608,lancasteroh43130,lancastercityof,lancasterplasticscorpkeifer,172,27794
lancasterpa17608,lancasterpa17601,lancastercityof,lancasterbiblecollege,172,27989
lancasterpa17608,lancasterpa17602,lancastercityof,lancasterbrewingco,172,29419
lancasterpa17608,lancasterny14086,lancastercityof,lancastersteelservicecoinc,172,33758
lancasterpa17608,lancasterpa17608,lancastercityof,lancastercityofpa,172,40109
lancasterpa17608,lancasteroh43130,lancastercityof,lancasterportauthorityoh,172,44053
lancasterpa17608,lancasterpa17601,lancastercityof,lancastercountyassociationofrealtors,172,45101
lancasterpa17608,lancasterpa176081558,lancastercityof,lancastercountybusinessgrouponhealth,172,45105
lancasterpa17608,lancasterca17603,lancastercityof,lancastercountycommunityfoundation,172,45106
lancasterpa17608,lancasterpa17603,lancastercityof,lancastercountrydayschool,172,49942
lancasterpa17608,lancasterpa17601,lancastercityof,lancasteroilco,172,50063
lancasterpa17608,lancastersc29720,lancastercityof,lancastercountyofsc,172,54071
lancasterpa17608,lancasterwi538131761,lancastercityof,lancasterinteriorsinc,172,54713
lancasterpa17608,lancasteroh43130,lancastercityof,lancasterchorale,172,94314
lancasterpa17608,lancastersc29721,lancastercityof,lancastertelephoneco,172,97492
lancasterpa17608,lancasterpa17603,lancastercityof,lancastercountyofpa,172,102585
lancasterpa17608,lancasteroh43130,lancastercityof,lancastercityofoh,172,103232
lancasterpa17608,lancasterpa17603,lancastercityof,lancastercountyfinancialgroupllc,172,122626
lancasterpa17608,lancasterpa17601,lancastercityof,lancastercountytaxcollectionbureau,172,144566
lancasterpa17608,lancasterpa17603,lancastercityof,lancastercountyofficeofthecommissionerspa,172,145248
lancasterpa17608,lancasteroh43130,lancastercityof,lancasterfestival,172,163084
lancasterpa17608,lancaster,lancastercityof,lancastertechnologyltd,172,188070
lancasterpa17608,lancasterpa17601,lancastercityof,lancastermortgageco,172,196353
lexingtonnc27292,lexingtontn38351,lexingtoncityof,lexingtonhospitalcorp,195,6818
lexingtonnc27292,lexingtonky40507,lexingtoncityof,lexingtonhotelmallcorp,195,17609
lexingtonnc27292,lexingtonsc,lexingtoncityof,lexingtondispatchnews,195,23100
lexingtonnc27292,lexingtonky40507,lexingtoncityof,lexingtoncoalcollc,195,34192
lexingtonnc27292,lexingtonne68850,lexingtoncityof,lexingtoncoopoil,195,39694
lexingtonnc27292,lexingtonky40507,lexingtoncityof,lexingtoncapitaladvisorsinc,195,41732
lexingtonnc27292,lexingtonky40507,lexingtoncityof,lexingtonpubliclibrary,195,47889
lexingtonnc27292,lexingtonnc,lexingtoncityof,lexingtoncityboardofeducationnc,195,53371
lexingtonnc27292,lexingtonsc29072,lexingtoncityof,lexingtoncountyofsc,195,55118
lexingtonnc27292,lexingtonky,lexingtoncityof,lexingtoncommunitycollege,195,56537
lexingtonnc27292,lexingtonma02420,lexingtoncityof,lexingtonanalyticsinc,195,119062
lexingtonnc27292,lexingtonma02420,lexingtoncityof,lexingtonsuffolkassociatesllc,195,130850
lexingtonnc27292,lexingtonne68850,lexingtoncityof,lexingtoncommunityfoundation,195,142896
lexingtonnc27292,lexingtonky,lexingtoncityof,lexingtonrotaryclub,195,188043
houstontx77010,houstontx77010,lyondellchemicalcompany,lyondellchemicalco,198,2161
houstontx77010,houstontx,lyondellchemicalcompany,lyondellchemicalcoaliphaticdiisocyanatesbusiness,198,23205
houstontx77010,houstontx77010,lyondellchemicalcompany,lyondellbasellco,198,42336
portlandor97219,portlandor97258,lewisandclarkcollege,lewisclarkoregonlp,210,6567
portlandor97219,portlandor97219,lewisandclarkcollege,lewisclarkcollegeor,210,27910
crownpointin46307,crownpointin46307,lakecounty,lakecountydrugfreealliance,214,37522
grandrapidsmi49512,grandrapidsmi49512,l3communicationsavionicssystemsinc,l3communicationsavionicssystemsinc,221,58290
southjordanut84095,southjordanut84095,lymanbros,lymanbrosinc,228,5417
leesburgfl34748,leesburgfl34748,leesburgcityof,leesburgconcretecoinc,233,50314
markhamontariol3r5y6,markhamonl3r5y6,lyrecocanadainc,lyrecocanadainc,234,126777
santarosaca95403,santarosaca95403,l3communications,l3communicationssonomaeoinc,239,28697
losangelesca90012,losangelesca90071,losangelescountyof,losangelescountyeconomicdevelopmentcorp,242,18991
losangelesca90012,losangelesca90014,losangelescountyof,losangelescoffeestation,242,21254
losangelesca90012,losangelesca90008,losangelescountyof,losangelessentinel,242,26068
losangelesca90012,losangelesca90012,losangelescountyof,losangelestimescommunicationsllc,242,28718
losangelesca90012,losangelesca90029,losangelescountyof,losangelescitycollege,242,29693
losangelesca90012,losangelesca90012,losangelescountyof,losangelescountydepartmentofhealthservices,242,29696
losangelesca90012,losangelesca90012,losangelescountyof,losangelescountymetropolitantransportationauthority,242,29868
losangelesca90012,losangelesca90012,losangelescountyof,losangelesoperaco,242,29870
losangelesca90012,losangelesca90012,losangelescountyof,losangelescityofca,242,29955
losangelesca90012,losangelesca90015,losangelescountyof,losangeleskingshockeyclublp,242,29985
losangelesca90012,losangelesca90071,losangelescountyof,losangelesworldaffairscouncil,242,30585
losangelesca90012,losangelesca90017,losangelescountyof,losangelesunifiedschooldistrictca,242,33402
losangelesca90012,losangelesca90012,losangelescountyof,losangelescountyofca,242,33516
losangelesca90012,losangelesca90017,losangelescountyof,losangelescommunitycollegedistrictca,242,33629
losangelesca90012,losangelesca90014,losangelescountyof,losangelesconservancy,242,35141
losangelesca90012,losangelesca90007,losangelescountyof,losangelescountymuseumofnaturalhistory,242,35684
losangelesca90012,losangelesca90017,losangelescountyof,losangelessportscouncil,242,36342
losangelesca90012,losangelesca90071,losangelescountyof,losangelesconventionvisitorsbureau,242,36347
losangelesca90012,losangelesca90015,losangelescountyof,losangelescommunitydesigncenter,242,37679
losangelesca90012,losangelesca,losangelescountyof,losangelescellulartelephoneco,242,38021
losangelesca90012,losangelesca90012,losangelescountyof,losangelescountybarassociation,242,38503
losangelesca90012,losangelesca,losangelescountyof,losangelesmdscoinc,242,38769
losangelesca90012,losangelesca90035,losangelescountyof,losangelescommunitydialysisinc,242,39115
